Tarih,Calisma_Suresi,Mola_Suresi,Gorev,Duygu,Odak_Puani
2025-12-26 15:31:39,1,5,Odaklanma Seansı,Nötr,75
2025-12-26 15:36:14,1,5,Odaklanma Seansı,Nötr,75
2025-12-26 15:38:06,1,5,Odaklanma Seansı,Nötr,75
2025-12-26 15:41:32,1,5,Odaklanma Seansı,Nötr,75
2025-12-26 17:15:19,1,5,Odaklanma Seansı,Nötr,75
2025-12-26 23:34:57,1,5,Odaklanma Seansı,Nötr,70
2025-12-26 23:41:28,25,5,"çok güzel geçti
",Nötr,80
2025-12-27 00:04:13,25,5,"çok güzel geçti
",Nötr,85
2025-12-27 00:10:25,25,5,çok zorlanmadım güzel geçti,Nötr,85
2025-12-27 00:13:46,25,5,"çok güzel geçti
",Nötr,85
2025-12-27 00:15:00,25,5,çok zorlandım kötü hissediyorum,Nötr,85
2025-12-27 00:18:04,25,5,çok kolaydı,Nötr,85
2025-12-27 00:18:24,25,5,çok zorlandım kötü hissediyorum,Nötr,85
2025-12-27 00:30:27,25,5,"çok zordu 
",Nötr,85
2025-12-27 00:30:45,25,5,"çok kolaydı eğlenceli geçti
",Nötr,85
2025-12-27 02:11:42,1,5,Odaklanma Seansı,Nötr,75
2025-12-27 02:12:12,1,5,zor,Nötr,75
2025-12-27 02:12:25,1,5,kolay,Nötr,75
2026-01-05 17:45:21,1,5,Odaklanma Seansı,Nötr,75
2026-01-05 17:46:35,1,5,Odaklanma Seansı,Nötr,75
2026-01-05 17:48:01,1,5,"çok kolaydı
",Nötr,75
2026-01-05 17:48:19,1,5,"çok zorlandım
",Nötr,75
2026-01-05 17:48:36,1,5,"orta seviyeydi
",Nötr,75
2026-01-06 13:27:08,1,5,Odaklanma Seansı,Nötr,75
2026-01-06 13:42:53,1,5,kolay,Nötr,75
2026-01-06 13:43:16,1,5,çok zordu,Nötr,75
2026-04-05 15:21:21,1,10,Odaklanma Seansı,Nötr,75
2026-04-05 15:22:27,1,10,"çok zorlanmadım verimli geçti
",Nötr,75
2026-04-05 15:22:56,1,10,"kolay geçti çok yormadı
",Nötr,75
2026-04-05 15:23:15,1,10,"çok zordu
",Nötr,75
2026-04-05 15:23:30,1,10,"orta zorluktaydı
",Nötr,75
2026-04-05 15:45:06,30,10,çok kolaydı hemen bitti,Nötr,85
2026-04-07 23:10:04,1,5,Odaklanma Seansı,Nötr,70
2026-04-07 23:11:20,1,5,Odaklanma Seansı,Nötr,70
2026-05-06 22:05:56,1,5,Odaklanma Seansı,Nötr,70
2026-05-06 22:08:23,1,5,Odaklanma Seansı,Nötr,70
